lathaar01	lathaar01h	0	1	3	1936			0	1|0|0
hargrmi01	hargrmi01h	0	0	1	1991			0	0
beaumgi01	beaumgi01h	0	0	4	1938			0	0|0|0|0
matthga01	matthga01h	0	0	1	1993			0	0
hafeych01	hafeych01h	1	11	13	1948	1971	Veterans	0	1|1|2|0|0|1|1|2|8|5|11|4
bonilbo01	bonilbo01h	0	0	1	2007			0	0
ferreri01	ferreri01h	1	1	4	1956	1984	Veterans	0	1|0|0
lopezja01	lopezja01h	0	0	1	2012			0	0
garneph01	garneph01h	0	0	1	1994			0	0
donlimi01	donlimi01h	0	3	4	1937			0	3|2|2|0
grissma02	grissma02h	0	1	1	2011			0	1
mondera01	mondera01h	0	0	1	2011			0	0
tettlmi01	tettlmi01h	0	0	1	2003			0	0
coopewa01	coopewa01h	0	14	10	1968			0	3|1|3|2|2|2|2|4|14|12
westsa01	westsa01h	0	1	1	1948			0	1
chapmra01	chapmra01h	0	0	1	1938			0	0
mitchke01	mitchke01h	0	0	1	2004			0	0
hendrge01	hendrge01h	0	0	1	1994			0	0
martiti02	martiti02h	0	1	1	2011			0	1
millebi02	millebi02h	0	2	2	1958			0	0|2
bailebo01	bailebo01h	0	0	1	1984			0	0
crandde01	crandde01h	0	4	4	1976			0	4|2|2|2
schalra01	schalra01h	0	45	16	1936			0	2|12|17|13|23|13|18|31|18|16|10|16|19|20|21|45
mccarti01	mccarti01h	0	4	1	1986			0	4
valoel01	valoel01h	0	1	1	1967			0	1
baylodo01	baylodo01h	0	3	2	1994			0	3|3
puhlte01	puhlte01h	0	0	1	1997			0	0
