220	Daphne-Fairhope-Foley, AL	MSA	195540	182265	7.28	Mobile-Daphne-Fairhope, AL CSA
221	Racine, WI	MSA	195041	195408	-0.19	Milwaukee-Racine-Waukesha, WI CSA
222	St. Cloud, MN	MSA	191306	189093	1.17	Minneapolis-St. Paul, MN-WI CSA
223	Bloomington, IL	MSA	191067	186133	2.65	Bloomington-Pontiac, IL CSA
224	Panama City, FL	MSA	190816	184715	3.30	
225	Gainesville, GA	MSA	187745	179684	4.49	Atlanta-Athens-Clarke County-Sandy Springs, GA CSA
226	Warner Robins, GA	MSA	186214	179605	3.68	Macon-Warner Robins, GA CSA
227	Jacksonville, NC	MSA	185220	177772	4.19	
228	Kingston, NY	MSA	180998	182493	-0.82	New York-Newark, NY-NJ-CT-PA CSA
229	Blacksburg-Christiansburg-Radford, VA	MSA	180351	178237	1.19	
230	Redding, CA	MSA	178980	177223	0.99	Redding-Red Bluff, CA CSA
231	Monroe, LA	MSA	178564	176441	1.20	Monroe-Ruston-Bastrop, LA CSA
232	El Centro, CA	MSA	176584	174528	1.18	
233	Joplin, MO	MSA	175243	175518	-0.16	Joplin-Miami, MO-OK CSA
234	Greenville, NC	MSA	174263	168148	3.64	Greenville-Washington, NC CSA
235	Terre Haute, IN	MSA	172195	172425	-0.13	
236	Muskegon, MI	MSA	171008	172188	-0.69	Grand Rapids-Wyoming-Muskegon, MI CSA
237	Columbia, MO	MSA	170773	162642	5.00	Columbia-Moberly-Mexico, MO CSA
238	Oshkosh-Neenah, WI	MSA	169541	166994	1.53	Appleton-Oshkosh-Neenah, WI CSA
239	Waterloo-Cedar Falls, IA	MSA	169484	167819	0.99	
240	Dover, DE	MSA	169416	162310	4.38	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
241	Sioux City, IA-NE-SD	MSA	168714	168563	0.09	Sioux City-Vermillion, IA-SD-NE CSA
242	Yuba City, CA	MSA	168690	166892	1.08	Sacramento-Roseville, CA CSA
243	Abilene, TX	MSA	167501	165252	1.36	
244	East Stroudsburg, PA	MSA	167148	169842	-1.59	New York-Newark, NY-NJ-CT-PA CSA
245	Bend-Redmond, OR	MSA	165954	157733	5.21	Bend-Redmond-Prineville, OR CSA
246	Billings, MT	MSA	165361	158934	4.04	
247	Punta Gorda, FL	MSA	164736	159978	2.97	North Port-Sarasota, FL CSA
248	Eau Claire, WI	MSA	164570	161151	2.12	Eau Claire-Menomonie, WI CSA
249	Bowling Green, KY	MSA	163536	158599	3.11	Bowling Green-Glasgow, KY CSA
250	Bloomington, IN	MSA	163089	159549	2.22	Bloomington-Bedford, IN CSA
251	Pueblo, CO	MSA	161451	159063	1.50	Pueblo-Cañon City, CO CSA
252	Iowa City, IA	MSA	161170	152586	5.63	Cedar Rapids-Iowa City, IA CSA
253	Janesville-Beloit, WI	MSA	160739	160331	0.25	Madison-Janesville-Beloit, WI CSA
254	Jackson, MI	MSA	160369	160248	0.08	
255	Kahului-Wailuku-Lahaina, HI	MSA	160292	154924	3.46	
256	Vineland-Bridgeton, NJ	MSA	157332	156898	0.28	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
257	Midland, TX	MSA	156780	141671	10.66	Midland-Odessa, TX CSA
258	Albany, GA	MSA	155694	157308	-1.03	
259	State College, PA	MSA	155403	153990	0.92	State College-DuBois, PA CSA
260	Niles-Benton Harbor, MI	MSA	155252	156813	-1.00	South Bend-Elkhart-Mishawaka, IN-MI CSA
261	Alexandria, LA	MSA	154753	153922	0.54	
262	Burlington, NC	MSA	154378	151131	2.15	Greensboro-Winston-Salem-High Point, NC CSA
263	Decatur, AL	MSA	153374	153829	-0.30	Huntsville-Decatur-Albertville, AL CSA
264	Bangor, ME	MSA	153364	153923	-0.36	
265	Madera, CA	MSA	152389	150865	1.01	Fresno-Madera, CA CSA
266	Chambersburg-Waynesboro, PA	MSA	152085	149618	1.65	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
267	Elizabethtown-Fort Knox, KY	MSA	151465	148338	2.11	Louisville/Jefferson County-Elizabethtown-Madison, KY-IN CSA
268	Wichita Falls, TX	MSA	151201	151306	-0.07	
269	Hanford-Corcoran, CA	MSA	150960	152982	-1.32	Visalia-Porterville-Hanford, CA CSA
270	Auburn-Opelika, AL	MSA	150933	140247	7.62	Columbus-Auburn-Opelika, GA-AL CSA
271	Rocky Mount, NC	MSA	150667	152392	-1.13	Rocky Mount-Wilson-Roanoke Rapids, NC CSA
272	Jefferson City, MO	MSA	150494	149807	0.46	
273	Monroe, MI	MSA	150376	152021	-1.08	Detroit-Warren-Ann Arbor, MI CSA
274	Texarkana, TX-AR	MSA	149619	149198	0.28	
275	Odessa, TX	MSA	149378	137130	8.93	Midland-Odessa, TX CSA
276	Hattiesburg, MS	MSA	147991	142842	3.60	
277	St. George, UT	MSA	147800	138115	7.01	
278	Dothan, AL	MSA	147691	145639	1.41	Dothan-Enterprise-Ozark, AL CSA
279	Grand Junction, CO	MSA	147554	146723	0.57	
280	Santa Fe, NM	MSA	147423	144170	2.26	Albuquerque-Santa Fe-Las Vegas, NM CSA
281	Florence-Muscle Shoals, AL	MSA	147317	147137	0.12	
282	Wheeling, WV-OH	MSA	145757	147950	-1.48	
283	Coeur d'Alene, ID	MSA	144265	138494	4.17	Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA
284	Valdosta, GA	MSA	142897	139588	2.37	
